key,en
skill.summon_spirit.tooltip,"召唤{spirit_icon}，可用于召唤其他存在

- 按住按钮或按Shift键批量购买"
skill.summon_tome_master,召唤典籍大师
skill.summon_tome_master.tooltip,"典籍大师将吸收所有创造的{knowledge_icon}并将其放大{percent_increase}%

- 如果你没有新的威望点，典籍大师每次脉冲还会使伤害威望进度条增加{prestige_percent_increase}%。"
skill.summon_zephyr,召唤泽菲尔
skill.summon_zephyr.tooltip,"削弱城墙，增加对城墙造成的伤害。

- 向城墙施加{base_stacks}层虚弱，并且每有一种精灵类型的人口达到{summon_threshold}，额外施加{additional_stacks}层。"
skill.text_enchantment,文本附魔
skill.text_enchantment.tooltip,{knowledge_icon}获取量提高{percent_increase}%
skill.unlock_alchemy_101,炼金研究
skill.unlock_alchemy_101.tooltip,{training}帮助炼金术士更快地创造{magic_gold_icon}
skill.unlock_dragon_bond,解锁龙研究
skill.unlock_dragon_bond.tooltip,{training}帮助龙守护者为龙提供更多经验
skill.unlock_herbology,解锁森林研究
skill.unlock_herbology.tooltip,{training}帮助德鲁伊生长更多{wood_icon}
skill.unlock_magic_101,解锁魔法研究
skill.unlock_magic_101.tooltip,{training}帮助精灵产生更多{magic_icon}
skill.upgrade_dragon_queen,升级龙后
skill.upgrade_dragon_queen.tooltip,龙后提供的龙经验提高复合{percent_increase}%
skill.upgrade_forest_keeper,升级森林守护者
skill.upgrade_forest_keeper.tooltip,"{wood_icon}获取量提高复合{percent_increase}%

- 同时{cosmic_dust_icon}生成速度提高复合{exp_percent_increase}%"
skill.upgrade_smith_master,升级铁匠大师
skill.upgrade_smith_master.tooltip,"铁匠的锤子力量提高复合{percent_increase}%

- 同时{magic_gold_icon}生产速度提高复合{alchemy_percent_increase}%"
skill.upgrade_tome_master,升级典籍大师
skill.upgrade_tome_master.tooltip,典籍大师吸收的{knowledge_icon}的放大倍率提高复合{percent_increase}%
skill.wizard_magic,巫师魔法
skill.wizard_magic.tooltip,通过按压宝珠获得的{magic_icon}提高{percent_increase}%
status_effect.cursed.name,诅咒
status_effect.cursed.description,当达到100层时，对城墙造成等同于所有萨满总伤害{mult}倍的伤害。
status_effect.frost.name,霜冻
status_effect.frost.description,每层使城墙上所有其他状态效果的衰减减少{reduction}
status_effect.molten.name,熔融
status_effect.molten.description,每层使城墙从龙火球受到的伤害提高{percent_increase}%
status_effect.resonance.name,碎裂
status_effect.resonance.description,每层使城墙从龙火球和诅咒受到的伤害提高{percent_increase}%
status_effect.weakened.name,虚弱
status_effect.weakened.description,每层使城墙受到的伤害提高{percent_increase}%
tooltip.blessing_locked,"下方的祝福已锁定，直到你拥有{points}总点数

- 你当前拥有{total_points}总点数"
tooltip.damage_chart_button,切换伤害图表
tooltip.knowledge,知识
tooltip.magic,魔法
tooltip.milestone_blessings,里程碑祝福在你达到一定数量的威望点时自动解锁
training.alchemy_101,炼金研究
training.alchemy_101.tooltip,{magic_gold_icon}生产速度提高{percent_increase}%
training.dragon_bond,龙研究
training.dragon_bond.tooltip,龙经验获取提高{percent_increase}%
training.herbology,林场研究
training.herbology.tooltip,{wood_icon}获取量提高{percent_increase}%
training.magic_101,魔法研究
training.magic_101.tooltip,云灵提供的{magic_icon}提高{percent_increase}%
tree.academy_exp_rune.name,学院强化
tree.academy_exp_rune.description,学院经验获取提高{percent_increase}%
tree.alchemy.name,炼金强化
tree.alchemy.description,{magic_gold_icon}生产速度提高{percent_increase}%
tree.alloy.name,合金
tree.alloy.description,每有一个戈耳工、萨满和泽菲尔，伊夫利特的基础伤害提高{percent_increase}%
tree.arc.name,弧光
tree.arc.description,每有一个泽菲尔或云灵，戈耳工伤害提高{percent_increase}%
tree.charge.name,充能
tree.charge.description,每次闪电造成伤害时，闪电的基础伤害永久提高{damage_increase}。
tree.class_of_destruction.name,毁灭贤者
tree.class_of_destruction.description,精灵贤者对城墙造成{base_damage}伤害。
tree.cloud.name,魔法强化
tree.cloud.description,{magic_icon}获取量提高{percent_increase}%
tree.create_gorgons.name,召唤戈耳工
tree.create_gorgons.description,召唤{amount}个戈耳工
tree.create_ifrits.name,召唤伊夫利特
tree.create_ifrits.description,召唤{amount}个伊夫利特
tree.create_shamans.name,召唤萨满
tree.create_shamans.description,召唤{amount}个萨满
tree.curse_resonance.name,诅咒光环
tree.curse_resonance.description,"当城墙上出现诅咒时，所有戈耳工获得一个光环，使其下一次伤害提高{percent_increase}%

- 可多次叠加。"
tree.cursed_fire.name,诅咒之火
tree.cursed_fire.description,城墙上的熔融效果将以{percent_of}%的效果应用于诅咒。
tree.cursed_shards.name,诅咒碎片
tree.cursed_shards.description,诅咒的基础伤害添加到碎片的基础伤害中。
tree.diversity.name,多样性
tree.diversity.description,除虚弱外，每层任意状态效果，精灵贤者的基础伤害提高{damage_increase}%
tree.dragon_wands.name,龙之魔杖
tree.dragon_wands.description,龙火球基础伤害的{percent_of}%添加到精灵贤者的基础伤害中。
tree.dragon.name,龙守护者强化
tree.dragon.description,龙经验获取提高{percent_increase}%
tree.fire_arrows.name,火箭
tree.fire_arrows.description,萨满现在可以射出火箭，对城墙造成萨满箭矢伤害{damage}倍的伤害。
tree.fire_damage.name,熔融箭矢
tree.fire_damage.description,城墙上的熔融效果将以{percent_of}%的效果应用于火箭。
tree.fireball_shrapnel.name,火球碎片
tree.fireball_shrapnel.description,"火球爆炸成{amount}个碎片，每个碎片对城墙造成{base_damage}伤害。

- 不计入火球伤害。"
tree.fusion.name,融合
tree.fusion.description,伊夫利特每拥有1点基础伤害，火球基础伤害提高{percent_increase}%
tree.hot_blooded.name,热血
tree.hot_blooded.description,城墙上的熔融效果将应用于伊夫利特的火球。
tree.hot_runes.name,炽热符文
tree.hot_runes.description,每解锁一个符文，碎片基础伤害提高{percent_increase}%
tree.ice_arrow_damage.name,冰箭伤害
tree.ice_arrow_damage.description,冰箭造成等同于{mult}个戈耳工基础伤害的伤害。
tree.ice_arrows.name,冰箭
tree.ice_arrows.description,萨满现在可以射出冰箭，向城墙施加{stacks}层霜冻，减少城墙上状态效果的衰减。
tree.infinity_resonance.name,无限共鸣
tree.infinity_resonance.description,每拥有一个无限符文，戈耳工获得{percent_increase}%伤害。
tree.infinity.name,无限
tree.infinity.description,解锁一项升级，以{blank_rune_icon}为代价提高所有类型的伤害。
tree.instructions.name,说明
tree.instructions.description,花费{image}空白符文解锁升级。
tree.relics.name,圣物
tree.relics.description,每拥有一个圣杯或贤者之石，戈耳工的基础伤害额外提高{damage_increase}。
tree.shrapnel_count.name,碎片数量
tree.shrapnel_count.description,火球产生的碎片数量增加{amount}。
tree.shrapnel_molten.name,熔融碎片
tree.shrapnel_molten.description,每个碎片现在向城墙施加{stacks}层熔融。
tree.shrapnel_weakness.name,碎片虚弱
tree.shrapnel_weakness.description,每个碎片现在向城墙施加{stacks}层虚弱。
tree.sound_pulse.name,声波脉冲
tree.sound_pulse.description,戈耳工现在可以发出声波脉冲，向城墙施加碎裂。每层碎裂，城墙从龙火球和诅咒受到的伤害提高{percent_increase}%
tree.strike_twice.name,双重打击
tree.strike_twice.description,闪电有{chance}%的几率击中城墙两次。
tree.wisps.name,灵火
tree.wisps.description,戈耳工现在可以发出灵火，向城墙施加诅咒。
tree.wood.name,德鲁伊强化
tree.wood.description,{wood_icon}获取量提高{percent_increase}%
tree.zephyr_damage.name,闪电
tree.zephyr_damage.description,泽菲尔偶尔召唤闪电，对城墙造成{damage_increase}伤害。
blessing.spoiler,隐藏直至上方祝福解锁
button.view_tower_requirements,跳转到需求
label.needs_trade_agreements,- 需要{amount}{trade_agreement_icon}
