key,en
skill.carve_sage_totem.tooltip,Cada Tótem aumenta la ganancia de EXP de la Academia en un {percent_increase}% compuesto - Bono actual: {total}%
skill.cloud_resonance,Resonancia de Nubes
skill.cloud_resonance.tooltip,"Cada vez que el Dragón exhala Magia, todas las Nubecillas crearán una gota de Magia"
skill.cloudling_magic,Magia de Nubecilla
skill.cloudling_potency,Impulso de Nubecilla
skill.cloudling_potency.tooltip,Aumenta la creación de {magic_icon} por Nubecillas en un {percent_increase}%
skill.combat_magic,Magia de Combate
skill.combat_magic.tooltip,Aumenta todo el daño en un {percent_increase}%
skill.craft_totem,Fabricar Tótem
skill.craft_totem.tooltip,Fabrica {totem_icon}. Los tótems se pueden tallar en diferentes tipos y colocarse en el poste de tótems para obtener varios bonos.
skill.create_cosmic_analysis,Análisis Cósmico
skill.create_cosmic_analysis.tooltip,Crea 1 Análisis Cósmico para gastar en mejoras de análisis.
skill.dragon_alphabet,Alfabeto de Dragón
skill.dragon_alphabet.tooltip,Aumenta la ganancia de experiencia para {training} en un {percent_increase}%
skill.dragon_wisdom,Conocimiento de Dragón
skill.dragon_wisdom.tooltip,Aumenta la ganancia de EXP del Guardián de Dragón en un {percent_increase}%
skill.enchant_frost,Encantamiento de Muralla de Escarcha
skill.enchant_frost.tooltip,Cada acumulación de Escarcha aumenta la ganancia de {wood_icon} en un {percent_increase}% - También aumenta la velocidad de creación de {cosmic_dust_icon} en un {cosmic_percent_increase}%
skill.enchant_molten,Encantamiento de Muralla Fundida
skill.enchant_molten.tooltip,Cada acumulación de Fundido aumenta la ganancia de EXP de Dragón en un {percent_increase}% - También aumenta la velocidad de creación de {cosmic_dust_icon} en un {cosmic_percent_increase}%
skill.enchant_shatter,Encantamiento de Muralla Fragmentada
skill.enchant_shatter.tooltip,Cada acumulación de Fragmentación aumenta la velocidad de creación de {blank_rune_icon} en un {percent_increase}% - También aumenta la velocidad de creación de {cosmic_dust_icon} en un {cosmic_percent_increase}%
skill.herbology_textbooks,Cuadernos de Silvicultura
skill.herbology_textbooks.tooltip,Aumenta la ganancia de experiencia para {training} en un {percent_increase}%
skill.improved_facilities,Academia Mejorada
skill.improved_facilities_2,Gran Universidad
skill.improved_facilities_2.tooltip,Aumenta la ganancia de experiencia para todos los temas de investigación en la Academia en un {percent_increase}%
skill.improved_facilities.tooltip,Aumenta la ganancia de experiencia para todos los temas de investigación en la Academia en un {percent_increase}%
skill.infinity_rune_upgrade,Runa del Infinito
skill.infinity_rune_upgrade.tooltip,Aumenta todo el daño base en un {percent_increase}%
skill.library_spirits,Espíritus de Biblioteca
skill.library_spirits.tooltip,Crea {amount} {spirit_icon} del estudio
skill.magic_textbooks,Varitas Mejoradas
skill.magic_textbooks.tooltip,Aumenta la ganancia de experiencia para {training} en un {percent_increase}%
skill.rune_mastery,Maestría en Runas
skill.rune_mastery.tooltip,Aumenta la velocidad de creación de {blank_rune_icon} en un {percent_increase}%
skill.summon_alchemist,Invocar Alquimista
skill.summon_alchemist.tooltip,Ayuda a crear {magic_gold_icon}. - Desbloqueia nuevas mejoras de Academia - Mantén presionado el botón o presiona shift para comprar múltiples.
skill.summon_astrologer,Invocar Astrólogo
skill.summon_astrologer.tooltip,"Construye el Observatorio - El Astrólogo observará la Muralla Cósmica, encontrando debilidades y la manera de posiblemente romperla."
skill.summon_cloudling,Invocar Nubecilla
skill.summon_cloudling.tooltip,Invoca una Nubecilla que crea {magic_icon} - {press_and_hold} el orbe para acelerarlas en un {speed_up_increase}%
skill.summon_diplomat,Invocar Diplomático
skill.summon_diplomat.tooltip,Invoca a un diplomático que crea {trade_agreement_icon}. - {press_and_hold} la Embajada para acelerarlos en un {speed_up_increase}% - Puede reembolsarse por {spirit_icon} cuando el mapa esté completo.
skill.summon_dragon_keeper,Guardián de Dragón
skill.summon_dragon_keeper.tooltip,Invoca a un Guardián de Dragón para ayudar a subir de nivel al Dragón - {press_and_hold} el nido del Dragón para acelerarlos en un {speed_up_increase}%
skill.summon_dragon_queen,Invocar Reina Dragón
skill.summon_dragon_queen.tooltip,La Reina Dragón subirá de nivel al Dragón igual al {percent}% de todos los Guardianes de Dragón combinados. - La Reina Dragón también duplicará cualquier Bola de Fuego de Dragón en dos.
skill.summon_druid,Invocar Druida
skill.summon_druid.tooltip,Los Druidas mantienen el bosque y cosechan {wood_icon}. - {press_and_hold} el bosque para acelerarlos en un {speed_up_increase}%
skill.summon_forest_keeper,Invocar Guardián del Bosque
skill.summon_forest_keeper.tooltip,El Guardián del Bosque mejorará los troncos aumentando su valor de {wood_icon} en un {percent_increase}% - El Guardián del Bosque también aumentará la velocidad de creación de {cosmic_dust_icon} en un {exp_percent_increase}%
skill.summon_gorgon,Invocar Gorgona
skill.summon_gorgon.tooltip,Inflige {base_damage} de daño base a la muralla. - El daño base aumenta en {damage_increase} por cada Ouroboros que tengas.
skill.summon_ifrit,Invocar Ifrit
skill.summon_ifrit.tooltip,Inflige {base_damage} de daño base a la muralla. - El daño base aumenta en {additional_damage} cada 10 niveles de la habilidad Bola de Fogo de Dragón.
skill.summon_rune_smith,Invocar Forjador de Runas
skill.summon_rune_smith.tooltip,Invoca a un Forjador de Runas para crear {blank_rune_icon} - {press_and_hold} el Obelisco/Yunque para acelerarlos en un {speed_up_increase}%
skill.summon_shaman,Invocar Chamán
skill.summon_shaman.tooltip,Inflige {base_damage} de daño base a la muralla multiplicado por el recuento del Tipo de Tótem con más Tótems.
skill.summon_smith_master,Invocar Maestro Forjador
skill.summon_smith_master.tooltip,El Maestro Forjador ayudará a forjar {blank_rune_icon} con golpes iguales a todos los Forjadores de Runas combinados. - El Maestro Forjador también aumentará la velocidad de producción de {magic_gold_icon} en un {alchemy_percent_increase}%
skill.summon_spirit,Invocar Espíritu
skill.summon_spirit_sage,Invocar Sabio Espiritual
skill.summon_spirit_sage.tooltip,Invoca a un Sabio Espiritual para investigar varios temas - {press_and_hold} la Academia para acelerarlos en un {speed_up_increase}%
skill.summon_spirit_tome,Invocar Tomo Espiritual
skill.summon_spirit_tome.tooltip,Invoca un Tomo Espiritual que crea {knowledge_icon} - {press_and_hold} la sala de estudio para acelerarlos en un {speed_up_increase}%
skill.summon_spirit.tooltip,Invoca {spirit_icon} que se pueden usar para invocar a otros seres - Mantén presionado el botón o presiona shift para comprar varios
skill.summon_tome_master,Invocar Maestro de los Tomos
skill.summon_tome_master.tooltip,"El Maestro de los Tomos absorberá todo el {knowledge_icon} creado y lo amplificará en un {percent_increase}% - Si no tienes nuevos puntos de prestigio, el Maestro de los Tomos también aumentará la barra de progreso de prestigio por daño en un {prestige_percent_increase}% cada pulso."
skill.summon_zephyr,Invocar Céfiro
skill.summon_zephyr.tooltip,"Debilita la muralla, aumentando el daño infligido a la muralla. - Aplica {base_stacks} acumulaciones de debilidad a la muralla más {additional_stacks} acumulación por cada Tipo de Espíritu con una población de al menos {summon_threshold}."
skill.text_enchantment,Encantamiento de Texto
skill.text_enchantment.tooltip,Aumenta la ganancia de {knowledge_icon} en un {percent_increase}%
skill.unlock_alchemy_101,Investigación de Alquimia
skill.unlock_alchemy_101.tooltip,{training} ayuda a los Alquimistas a crear {magic_gold_icon} más rápido
skill.unlock_dragon_bond,Desbloquear Investigación de Dragón
skill.unlock_dragon_bond.tooltip,{training} ayuda a los Guardianes de Dragón a proporcionar más EXP al Dragón
skill.unlock_herbology,Desbloquear Investigación de Bosque
skill.unlock_herbology.tooltip,{training} ayuda a los Druidas a cultivar más {wood_icon}
skill.unlock_magic_101,Desbloquear Investigación de Magia
skill.unlock_magic_101.tooltip,{training} ayuda a los Espíritus a producir más {magic_icon}
skill.upgrade_dragon_queen,Mejorar Reina Dragón
skill.upgrade_dragon_queen.tooltip,Aumenta la EXP de Dragón que proporciona la Reina Dragón en un {percent_increase}% compuesto
skill.upgrade_forest_keeper,Mejorar Guardián del Bosque
skill.upgrade_forest_keeper.tooltip,Aumenta la ganancia de {wood_icon} en un {percent_increase}% compuesto - También aumenta la velocidad de creación de {cosmic_dust_icon} en un {exp_percent_increase}% compuesto
skill.upgrade_smith_master,Mejorar Maestro Forjador
skill.upgrade_smith_master.tooltip,Aumenta el poder del martillo del Forjador en un {percent_increase}% compuesto - También aumenta la velocidad de producción de {magic_gold_icon} en un {alchemy_percent_increase}% compuesto
skill.upgrade_tome_master,Mejorar Maestro de los Tomos
skill.upgrade_tome_master.tooltip,Aumenta la amplificación de {knowledge_icon} absorbida por el Maestro de los Tomos en un {percent_increase}% compuesto
skill.wizard_magic,Magia de Mago
skill.wizard_magic.tooltip,Aumenta el {magic_icon} ganado al presionar El Orbe en un {percent_increase}%
status_effect.cursed.name,Maldito
status_effect.cursed.description,"Al alcanzar 100 acumulaciones, inflige daño a la muralla igual a {mult} veces el daño de todos los Chamanes combinados."
status_effect.frost.name,Escarcha
status_effect.frost.description,Reduce el decaimiento de todos los demás efectos de estado en la muralla en {reduction} por acumulación
status_effect.molten.name,Fundido
status_effect.molten.description,"Por cada acumulación, la Muralla recibe un {percent_increase}% más de daño de las Bolas de Fuego de Dragón"
status_effect.resonance.name,Fragmentación
status_effect.resonance.description,"Por cada acumulación, la Muralla recibe un {percent_increase}% más de daño de las Bolas de Fuego de Dragón y Maldiciones"
status_effect.weakened.name,Debilitado
status_effect.weakened.description,"Por cada acumulación, la Muralla recibe un {percent_increase}% más de daño"
tooltip.blessing_locked,Las bendiciones a continuación están bloqueadas hasta que tengas {points} puntos en total - Actualmente tienes {total_points} puntos en total
tooltip.damage_chart_button,Alternar Gráfico de Daño
tooltip.knowledge,Conocimiento
tooltip.magic,Magia
tooltip.milestone_blessings,Las Bendiciones de Hito se desbloquean automáticamente cuando alcanzas cierto número de puntos de prestigio
training.alchemy_101,Investigación de Alquimia
training.alchemy_101.tooltip,Aumenta la velocidad de producción de {magic_gold_icon} en un {percent_increase}%
training.dragon_bond,Investigación de Dragón
training.dragon_bond.tooltip,Aumenta la ganancia de EXP de Dragón en un {percent_increase}%
training.herbology,Investigación de Silvicultura
training.herbology.tooltip,Aumenta la ganancia de {wood_icon} en un {percent_increase}%
training.magic_101,Investigación de Magia
training.magic_101.tooltip,Aumenta el {magic_icon} proporcionado por las Nubecillas en un {percent_increase}%
tree.academy_exp_rune.name,Impulso de Academia
tree.academy_exp_rune.description,Aumenta la ganancia de EXP de la Academia en un {percent_increase}%
tree.alchemy.name,Impulso de Alquimia
tree.alchemy.description,Aumenta la velocidad de producción de {magic_gold_icon} en un {percent_increase}%
tree.alloy.name,Aleación
tree.alloy.description,"El daño base de los Ifrits aumenta en un {percent_increase}% por cada Gorgona, Chamán y Céfiro."
tree.arc.name,Arco
tree.arc.description,Aumenta el daño de Gorgona en un {percent_increase}% por cada Céfiro o Nubecilla.
tree.charge.name,Carga
tree.charge.description,"Cada vez que el Relámpago inflige daño, el daño base del Relámpago aumenta permanentemente en {damage_increase}."
tree.class_of_destruction.name,Sabios de la Destrucción
tree.class_of_destruction.description,Los Sabios Espirituales infligen {base_damage} de daño a la muralla.
tree.cloud.name,Impulso Mágico
tree.cloud.description,Aumenta la ganancia de {magic_icon} en un {percent_increase}%
tree.create_gorgons.name,Invocar Gorgonas
tree.create_gorgons.description,Invoca {amount} Gorgonas
tree.create_ifrits.name,Invocar Ifrits
tree.create_ifrits.description,Invoca {amount} Ifrits
tree.create_shamans.name,Invocar Chamanes
tree.create_shamans.description,Invoca {amount} Chamanes
tree.curse_resonance.name,Aura de Maldición
tree.curse_resonance.description,"Cuando aparece una maldición en la muralla, todas las Gorgonas obtendrán un aura, aumentando su próximo daño en un {percent_increase}% - Se puede acumular múltiples veces."
tree.cursed_fire.name,Fuego Maldito
tree.cursed_fire.description,Los efectos de Fundido en la muralla se aplicarán a las Maldiciones a un {percent_of}% del efecto.
tree.cursed_shards.name,Fragmentos Malditos
tree.cursed_shards.description,El daño base de las Maldiciones se añade al daño base de la Metralla
tree.diversity.name,Diversidad
tree.diversity.description,El daño base del Sabio Espiritual aumenta en un {damage_increase}% por acumulación de cualquier efecto de estado que no sea Debilitado.
tree.dragon_wands.name,Varitas de Dragón
tree.dragon_wands.description,El {percent_of}% del daño base de la bola de fuego de dragón se añade al daño base del Sabio Espiritual.
tree.dragon.name,Impulso de Guardián de Dragón
tree.dragon.description,Aumenta la ganancia de EXP de Dragón en un {percent_increase}%
tree.fire_arrows.name,Flechas de Fuego
tree.fire_arrows.description,"Los Chamanes ahora pueden disparar flechas de fuego, infligiendo {damage}x del daño de flecha de Chamán a la muralla."
tree.fire_damage.name,Flechas Fundidas
tree.fire_damage.description,Los efectos de Fundido en la muralla se aplicarán a las Flechas de fuego a un {percent_of}% del efecto.
tree.fireball_shrapnel.name,Metralla de Bola de Fuego
tree.fireball_shrapnel.description,"Las Bolas de fuego explotan en {amount} Metralla, que cada una inflige {base_damage} de daño a la muralla. - No cuenta como daño de Bola de Fuego."
tree.fusion.name,Fusión
tree.fusion.description,El daño base de Bola de fuego aumenta en un {percent_increase}% por cada daño base que tengan los Ifrits.
tree.hot_blooded.name,Sangre Caliente
tree.hot_blooded.description,Los efectos de Fundido en la muralla se aplicarán a las bolas de fuego de los Ifrits.
tree.hot_runes.name,Runas Calientes
tree.hot_runes.description,El daño base de Metralla aumenta en un {percent_increase}% por cada runa desbloqueada.
tree.ice_arrow_damage.name,Daño de Flecha de Hielo
tree.ice_arrow_damage.description,Las flechas de hielo infligen un daño igual al daño base de {mult} Gorgonas.
tree.ice_arrows.name,Flechas de Hielo
tree.ice_arrows.description,"Los Chamanes ahora pueden disparar flechas de hielo, que aplicarán {stacks} Escarcha a la muralla, reduciendo el decaimiento de los efectos de estado en la muralla."
tree.infinity_resonance.name,Resonancia del Infinito
tree.infinity_resonance.description,Las Gorgonas ganan un {percent_increase}% de daño por cada Runa del Infinito que tengas.
tree.infinity.name,Infinito
tree.infinity.description,Desbloquea una mejora para aumentar todos los tipos de daño a cambio de {blank_rune_icon}.
tree.instructions.name,Instrucciones
tree.instructions.description,Gasta {image} Runas en Blanco para desbloquear mejoras.
tree.relics.name,Reliquias
tree.relics.description,El daño base de Gorgona también aumentará en {damage_increase} por cada Santo Grial o Piedra Filosofal que tengas.
tree.shrapnel_count.name,Recuento de Metralla
tree.shrapnel_count.description,Aumenta el número de Metralla de las Bolas de fuego en {amount}.
tree.shrapnel_molten.name,Metralla Fundida
tree.shrapnel_molten.description,Cada Metralla ahora aplica {stacks} Fundido a la muralla.
tree.shrapnel_weakness.name,Debilidad de Metralla
tree.shrapnel_weakness.description,Cada Metralla ahora aplica {stacks} Debilidad a la muralla.
tree.sound_pulse.name,Pulso Sonoro
tree.sound_pulse.description,"Las Gorgonas ahora pueden emitir Pulsos Sonoros, que aplicarán Fragmentación a la muralla. Por cada acumulación de Fragmentación, la Muralla recibe un {percent_increase}% más de daño de las Bolas de Fuego de Dragón y Maldiciones"
tree.strike_twice.name,Golpear Dos Veces
tree.strike_twice.description,Los Relámpagos tienen un {chance}% de probabilidad de golpear la muralla dos veces.
tree.wisps.name,Fuego Fatuo
tree.wisps.description,"Las Gorgonas ahora pueden emitir Fuegos Fatuos, que aplicarán Maldito a la muralla."
tree.wood.name,Impulso de Druida
tree.wood.description,Aumenta la ganancia de {wood_icon} en un {percent_increase}%
tree.zephyr_damage.name,Relámpago
tree.zephyr_damage.description,"Los Céfiros ocasionalmente invocan Relámpagos, que infligen {damage_increase} de daño a la muralla."
blessing.spoiler,Oculto hasta que se desbloqueen las bendiciones de arriba
button.view_tower_requirements,Saltar a Requisitos
label.needs_trade_agreements,- Necesitas {amount} {trade_agreement_icon}
